Reservation_QPM,%_queries_queued,%_time_above_cap,Avg_utilisation
0,1,1,0
10,0,0,0.05458211876
20,0,0,0.02108854588
30,0,0,0.01145550641
40,0,0,0.007249187648
50,0,0,0.005015654156
60,0,0,0.003682127059
70,0,0,0.002820352641
80,0,0,0.002230519276
90,0,0,0.001808764169
100,0,0,0.001496606482
110,0,0,0.001259017665
120,0,0,0.001073953726
130,0,0,0.0009269690498
140,0,0,0.0008082717935
150,0,0,0.0007110314321
160,0,0,0.0006303641433
170,0,0,0.0005627022552
180,0,0,0.0005053899885
190,0,0,0.0004564171269
200,0,0,0.0004142392941
